Var1_1,Var1_2,Var1_3
0.266,4,1.2248
0.267,4,1.1372
0.268,4,1.1699
0.269,4,1.1623
0.27,4,1.1177
0.271,4,1.1726
0.272,4,1.0983
0.273,4,1.2154
0.274,4,1.166
0.275,4,1.0789
0.276,4,1.1823
0.277,4,1.1262
0.278,4,1.1567
0.279,4,1.1472
0.28,4,1.1415
0.281,4,1.1782
0.282,4,1.0947
0.283,4,1.2185
0.284,4,1.1301
0.285,4,1.1607
0.286,4,1.1886
0.287,4,1.1125
0.288,4,1.1652
0.289,4,1.0925
0.29,4,1.2095
0.291,4,1.1642
0.292,4,1.1303
0.293,4,1.1828
0.294,4,1.1322
0.295,4,1.1603
0.296,4,1.1556
0.297,4,1.1478
0.298,4,1.0838
0.299,4,1.101
0.3,4,1.2232
0.301,4,1.1348
0.302,4,1.1678
0.303,4,1.1865
0.304,4,1.1663
0.305,4,1.1697
0.306,4,1.0955
0.307,4,1.2134
0.308,4,1.1663
0.309,4,1.1396
0.31,4,1.0631
0.311,4,1.1328
0.312,4,1.1679
0.313,4,1.1576
0.314,4,1.1416
0.315,4,1.0702
0.316,4,1.0979
0.317,4,1.2197
0.318,4,1.1384
0.319,4,1.1686
0.32,4,1.1895
0.321,4,1.1624
0.322,4,1.1075
0.323,4,1.0997
0.324,4,1.2139
0.325,4,1.1681
0.326,4,1.1385
0.327,4,1.1083
0.328,4,1.1815
0.329,4,1.1648
0.33,4,1.1562
0.331,4,1.1485
0.332,4,1.0706
0.333,4,1.1521
0.334,4,1.1378
0.335,4,1.187
0.336,4,1.173
0.337,4,1.1858
0.338,4,1.1733
0.339,4,1.1132
0.34,4,1.1497
0.341,4,1.1261
0.342,4,1.1973
0.343,4,1.1324
0.344,4,1.1081
0.345,4,1.1753
0.346,4,1.113
0.347,4,1.1723
0.348,4,1.1424
0.349,4,1.0672
0.35,4,1.1443
0.351,4,1.1351
0.352,4,1.1787
0.353,4,1.0629
0.354,4,1.1844
0.355,4,1.167
0.356,4,1.1094
0.357,4,1.1449
0.358,4,1.1218
0.359,4,1.1973
0.36,4,1.1358
0.361,4,1.1036
0.362,4,1.1806
0.363,4,1.1095
0.364,4,1.1767
0.365,4,1.2101
0.366,4,1.0682
0.367,4,1.1496
0.368,4,1.1387
0.369,4,1.1842
0.37,4,1.1
0.371,4,1.2002
0.372,4,1.1718
0.373,4,1.1146
0.374,4,1.149
0.375,4,1.1291
0.377,4,1.1519
0.378,4,1.1091
0.379,4,1.1884
0.38,4,1.1245
0.381,4,1.1858
0.382,4,1.2177
0.383,4,1.1466
0.384,4,1.2207
0.385,4,1.1779
0.386,4,1.1906
0.387,4,1.1069
0.389,4,1.1436
0.39,4,1.1676
0.391,4,1.2057
0.392,4,1.1706
0.393,4,1.1998
0.394,4,1.1547
0.396,4,1.1348
0.397,4,1.176
0.398,4,1.0219
0.4,4,1.1465
0.401,4,1.2184
0.402,4,1.1779
0.403,4,1.1438
0.404,4,1.1661
0.405,4,1.1242
0.407,4,1.1682
0.409,4,1.1638
0.41,4,1.0829
0.411,4,1.1894
0.412,4,1.1515
0.413,4,1.1297
0.414,4,1.1716
0.415,4,1.0757
0.416,4,1.2126
0.417,4,1.1025
0.418,4,1.2266
0.419,4,1.1726
0.42,4,1.1403
0.421,4,1.1645
0.422,4,1.1209
0.423,4,1.1735
0.424,4,1.1006
0.425,4,1.2165
0.426,4,1.1662
0.427,4,1.0858
0.428,4,1.1914
0.429,4,1.1395
0.43,4,1.1691
0.431,4,1.1575
0.432,4,1.0794
0.433,4,1.2138
0.434,4,1.1038
0.435,4,1.2239
0.436,4,1.136
0.437,4,1.166
0.438,4,1.1845
0.439,4,1.1135
0.44,4,1.1716
0.441,4,1.0979
