Var1_1,Var1_2,Var1_3
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,0,0
0.012,0,0
0.013,0,0
0.014,0,0
0.015,0,0
0.016,0,0
0.017,0,0
0.018,0,0
0.019,0,0
0.02,0,0
0.021,0,0
0.022,0,0
0.023,0,0
0.024,0,0
0.025,0,0
0.026,0,0
0.027,0,0
0.028,0,0
0.029,0,0
0.03,0,0
0.031,0,0
0.032,0,0
0.033,0,0
0.034,0,0
0.035,0,0
0.036,0,0
0.037,0,0
0.038,0,0
0.039,0,0
0.04,0,0
0.041,0,0
0.042,0,0
0.043,0,0
0.044,0,0
0.045,0,0
0.046,0,0
0.047,0,0
0.048,0,0
0.049,0,0
0.05,0,0
0.051,0,0
0.052,0,0
0.053,0,0
0.054,0,0
0.055,0,0
0.056,0,0
0.057,0,0
0.058,0,0
0.059,0,0
0.06,0,0
0.061,0,0
0.062,0,0
0.063,0,0
0.064,0,0
0.065,0,0
0.066,0,0
0.067,0,0
0.068,0,0
0.069,0,0
0.07,0,0
0.071,0,0
0.072,0,0
0.073,0,0
0.074,0,0
0.075,0,0
0.076,0,0
0.077,0,0
0.078,0,0
0.079,0,0
0.08,0,0
0.081,0,0
0.082,0,0
0.083,0,0
0.084,0,0
0.085,0,0
0.086,0,0
0.087,0,0
0.088,0,0
0.089,0,0
0.09,0,0
0.091,0,0
0.092,0,0
0.093,0,0
0.094,0,0
0.095,0,0
0.096,0,0
0.097,0,0
0.098,0,0
0.099,1,0
0.1,1,0
0.101,1,1e-06
0.102,1,2.99999e-06
0.103,1,5.999960000075e-06
0.104,1,9.999900000225e-06
0.105,1,1.4999800000075e-05
0.106,1,2.09996499984251e-05
0.107,1,2.79994399926503e-05
0.108,1,3.5999159977951e-05
0.109,1,4.49987999464525e-05
0.11,1,5.4998349886156e-05
0.111,1,6.59977997797377e-05
0.112,1,7.79971396032e-05
0.113,1,9.09963593243713e-05
0.114,1,0.000104995448901257
0.115,1,0.000119994398280238
0.116,1,0.000135993197394124
0.117,1,0.000152991836160053
0.118,1,0.00017099030447724
0.119,1,0.000189988592224581
0.12,1,0.000209986689258103
0.121,1,0.000230984585408263
0.122,1,0.000252982270477102
0.123,1,0.000275979734235242
0.124,1,0.000299976966418744
0.125,1,0.000324973956725804
0.126,1,0.000350970694813307
0.127,1,0.000377967170293227
0.128,1,0.000405963372728881
0.129,1,0.000434959291631032
0.13,1,0.000464954916453836
0.131,1,0.000495950236590654
0.132,1,0.000527945241369692
0.133,1,0.000560939920049517
0.134,1,0.000594934261814401
0.135,1,0.000629928255769528
0.136,1,0.000665921890936045
