n,f_Hz,ltspice_dBuV
1,300000,52.2358
2,600000,47.8902
3,900000,31.9237
4,1.2e+06,45.6886
5,1.5e+06,47.8947
6,1.8e+06,37.9199
7,2.1e+06,44.2645
8,2.4e+06,48.1921
9,2.7e+06,41.3832
10,3e+06,42.2534
11,3.3e+06,48.2399
12,3.6e+06,43.6645
13,3.9e+06,39.33
14,4.2e+06,48.0567
15,4.5e+06,45.2803
16,4.8e+06,34.5575
17,5.1e+06,47.6378
18,5.4e+06,46.4453
19,5.7e+06,23.5801
20,6e+06,46.9667
21,6.3e+06,47.275
22,6.6e+06,29.6296
23,6.9e+06,46.0039
24,7.2e+06,47.8342
25,7.5e+06,36.8708
26,7.8e+06,44.6623
27,8.1e+06,48.1467
28,8.4e+06,40.6675
29,8.7e+06,42.8069
30,9e+06,48.2308
31,9.3e+06,43.1411
32,9.6e+06,40.1485
33,9.9e+06,48.0868
34,1.02e+07,44.877
35,1.05e+07,35.9742
36,1.08e+07,47.7067
37,1.11e+07,46.119
38,1.14e+07,27.3723
39,1.17e+07,47.072
40,1.2e+07,46.9903
41,1.23e+07,25.7892
42,1.26e+07,46.1545
43,1.29e+07,47.5676
44,1.32e+07,35.2171
45,1.35e+07,44.9173
46,1.38e+07,47.9158
47,1.41e+07,39.5384
48,1.44e+07,43.262
49,1.47e+07,48.0567
50,1.5e+07,42.251
51,1.53e+07,40.988
52,1.56e+07,48.005
53,1.59e+07,44.1683
54,1.62e+07,37.5997
55,1.65e+07,47.7511
56,1.68e+07,45.5867
57,1.71e+07,31.472
58,1.74e+07,47.2549
59,1.77e+07,46.6151
60,1.8e+07,16.7995
61,1.83e+07,46.4955
62,1.86e+07,47.3394
63,1.89e+07,32.6335
64,1.92e+07,45.4284
65,1.95e+07,47.8136
66,1.98e+07,38.2089
67,2.01e+07,43.9554
68,2.04e+07,48.0584
69,2.07e+07,41.454
70,2.1e+07,41.9002
71,2.13e+07,48.0822
72,2.16e+07,43.6565
73,2.19e+07,38.8812
74,2.22e+07,47.8804
75,2.25e+07,45.2374
76,2.28e+07,33.8033
77,2.31e+07,47.4296
78,2.34e+07,46.3735
79,2.37e+07,20.6016
80,2.4e+07,46.6848
81,2.43e+07,47.1344
82,2.46e+07,30.331
83,2.49e+07,45.6406
84,2.52e+07,47.6078
85,2.55e+07,36.9285
86,2.58e+07,44.265
87,2.61e+07,47.8658
88,2.64e+07,40.4844
89,2.67e+07,42.4322
90,2.7e+07,47.9375
91,2.73e+07,42.8683
92,2.76e+07,39.8376
93,2.79e+07,47.8103
94,2.82e+07,44.5867
95,2.85e+07,35.7605
96,2.88e+07,47.4602
97,2.91e+07,45.8396
98,2.94e+07,27.4082
99,2.97e+07,46.8731
100,3e+07,46.7495
