n,f_Hz,ltspice_dBuV,hand_dBuV
1,300000,100.434,100.601
2,600000,94.0898,94.1685
3,900000,74.1116,72.186
4,1.2e+06,83.579,83.9564
5,1.5e+06,82.3118,82.464
6,1.8e+06,69.0556,67.9622
7,2.1e+06,73.3458,74.0783
8,2.4e+06,74.5399,74.89
9,2.7e+06,64.9205,64.2637
10,3e+06,64.9244,66.2163
11,3.3e+06,68.245,68.962
12,3.6e+06,61.0142,60.8938
13,3.9e+06,56.8909,59.0397
14,4.2e+06,62.4219,63.7563
15,4.5e+06,56.8758,57.5844
16,4.8e+06,48.355,51.744
17,5.1e+06,56.4633,58.7817
18,5.4e+06,52.0928,54.1202
19,5.7e+06,38.4027,43.4725
20,6e+06,50.0375,53.7072
21,6.3e+06,46.8118,50.32
22,6.6e+06,23.5635,32.3571
23,6.9e+06,44.8869,48.3415
24,7.2e+06,45.5057,46.1808
25,7.5e+06,33.0998,4.09906
26,7.8e+06,44.708,43.1777
27,8.1e+06,48.4285,42.8143
28,8.4e+06,40.7431,25.5871
29,8.7e+06,45.3959,40.5262
30,9e+06,50.7449,42.6181
31,9.3e+06,45.367,31.6437
32,9.6e+06,44.8717,40.4802
33,9.9e+06,52.1445,44.2113
34,1.02e+07,48.5228,36.3642
35,1.05e+07,42.7912,40.4804
36,1.08e+07,52.8774,45.5959
37,1.11e+07,50.756,39.7788
38,1.14e+07,38.2634,39.6884
39,1.17e+07,53.1479,46.4503
40,1.2e+07,52.4461,42.2228
41,1.23e+07,21.2017,37.8955
42,1.26e+07,52.9402,46.8416
43,1.29e+07,53.6416,43.9785
44,1.32e+07,37.4235,34.6705
45,1.35e+07,52.3034,46.8497
46,1.38e+07,54.434,45.2273
47,1.41e+07,43.921,28.2928
48,1.44e+07,51.2846,46.5246
49,1.47e+07,54.9557,46.0835
50,1.5e+07,47.58,11.5265
51,1.53e+07,49.7809,45.8889
52,1.56e+07,55.2454,46.6197
53,1.59e+07,50.0934,30.4342
54,1.62e+07,47.5588,44.9414
55,1.65e+07,55.2992,46.8831
56,1.68e+07,51.9155,35.6965
57,1.71e+07,44.1436,43.6564
58,1.74e+07,55.132,46.904
59,1.77e+07,53.2629,38.6537
60,1.8e+07,38.0881,41.9752
61,1.83e+07,54.7611,46.7007
62,1.86e+07,54.2921,40.5469
63,1.89e+07,28.7141,39.7838
64,1.92e+07,54.1821,46.2824
65,1.95e+07,55.1086,41.7914
66,1.98e+07,40.5689,36.8509
67,2.01e+07,53.2629,45.6509
68,2.04e+07,55.6693,42.5758
69,2.07e+07,46.04,32.6227
70,2.1e+07,51.9037,44.8007
71,2.13e+07,55.9692,42.9998
72,2.16e+07,49.2502,25.1141
73,2.19e+07,50.0159,43.7187
74,2.22e+07,56.0586,43.1197
75,2.25e+07,51.4805,11.8126
76,2.28e+07,47.2187,42.3821
77,2.31e+07,55.9026,42.9668
78,2.34e+07,53.0645,26.9987
79,2.37e+07,42.7542,40.7554
80,2.4e+07,55.5024,42.5566
81,2.43e+07,54.1787,31.3737
82,2.46e+07,33.9573,38.7838
83,2.49e+07,54.8882,41.8918
84,2.52e+07,54.9847,33.5611
85,2.55e+07,35.9967,36.3802
86,2.58e+07,54.0098,40.9641
87,2.61e+07,55.5194,34.6748
88,2.64e+07,43.5033,33.3978
89,2.67e+07,52.8482,39.7527
90,2.7e+07,55.838,35.0754
91,2.73e+07,47.4237,29.5591
92,2.76e+07,51.3318,38.2208
93,2.79e+07,55.9685,34.9012
94,2.82e+07,49.9521,24.2255
95,2.85e+07,49.3425,36.308
96,2.88e+07,55.948,34.1853
97,2.91e+07,51.7854,15.1127
98,2.94e+07,46.5493,33.9136
99,2.97e+07,55.7711,32.878
100,3e+07,53.1893,3.46267
