n,f_Hz,I_n_peak_A,V_lisn_dBuV,EN55022B_QP_dBuV
1,300000,1.07467,81.199,60.2428
2,600000,0.575897,77.1037,56
3,900000,0.053532,58.3164,56
4,1.2e+06,0.244481,73.5939,56
5,1.5e+06,0.241504,75.7381,56
6,1.8e+06,0.0529125,64.9816,56
7,2.1e+06,0.123407,74.9413,56
8,2.4e+06,0.155081,79.4081,56
95,2.85e+07,0.00206618,36.2475,60
96,2.88e+07,0.0015989,34.1258,60
97,2.91e+07,0.00017581,15.0541,60
98,2.94e+07,0.00151361,33.856,60
99,2.97e+07,0.00132808,32.8214,60
100,3e+07,4.44127e-05,3.40694,60
