f_Hz,S21_dB
29512.1,-28.3905
29853.8,-28.4733
30199.5,-28.5565
30549.2,-28.64
30903,-28.7239
31260.8,-28.8081
31622.8,-28.8926
31989,-28.9774
32359.4,-29.0626
32734.1,-29.1481
33113.1,-29.2339
33496.5,-29.3201
33884.4,-29.4065
34276.8,-29.4932
34673.7,-29.5803
35075.2,-29.6676
35481.3,-29.7552
35892.2,-29.8431
36307.8,-29.9313
36728.2,-30.0198
37153.5,-30.1085
37583.7,-30.1975
38018.9,-30.2868
38459.2,-30.3764
38904.5,-30.4662
39355,-30.5562
39810.7,-30.6466
40271.7,-30.7371
40738,-30.828
41209.8,-30.919
41686.9,-31.0103
42169.7,-31.1019
42658,-31.1937
43151.9,-31.2857
43651.6,-31.3779
44157,-31.4704
44668.4,-31.5631
45185.6,-31.656
45708.8,-31.7491
46238.1,-31.8425
46773.5,-31.936
47315.1,-32.0298
47863,-32.1238
48417.2,-32.218
48977.9,-32.3124
49545,-32.407
50118.7,-32.5017
50699.1,-32.5967
51286.1,-32.6919
51880,-32.7873
52480.7,-32.8829
53088.4,-32.9786
53703.2,-33.0746
54325,-33.1707
54954.1,-33.267
55590.4,-33.3635
56234.1,-33.4602
56885.3,-33.5571
57544,-33.6541
58210.3,-33.7514
58884.4,-33.8488
59566.2,-33.9463
60256,-34.0441
60953.7,-34.142
61659.5,-34.2401
62373.5,-34.3384
63095.7,-34.4369
63826.3,-34.5355
64565.4,-34.6343
65313.1,-34.7332
66069.3,-34.8324
66834.4,-34.9317
67608.3,-35.0312
68391.2,-35.1308
69183.1,-35.2306
69984.2,-35.3306
70794.6,-35.4307
71614.3,-35.5311
72443.6,-35.6316
73282.5,-35.7322
74131,-35.8331
74989.4,-35.9341
75857.8,-36.0352
76736.1,-36.1366
77624.7,-36.2381
78523.6,-36.3398
79432.8,-36.4416
80352.6,-36.5437
81283.1,-36.6459
82224.3,-36.7483
83176.4,-36.8509
84139.5,-36.9536
85113.8,-37.0565
86099.4,-37.1596
87096.4,-37.2629
88104.9,-37.3664
89125.1,-37.47
90157.1,-37.5739
91201.1,-37.6779
92257.1,-37.7821
93325.4,-37.8865
94406.1,-37.9911
95499.3,-38.0959
96605.1,-38.2009
97723.7,-38.3061
98855.3,-38.4115
100000,-38.5171
101158,-38.6229
102329,-38.7289
103514,-38.8352
104713,-38.9416
105925,-39.0482
107152,-39.1551
108393,-39.2622
109648,-39.3695
110917,-39.4771
112202,-39.5848
113501,-39.6928
114815,-39.8011
116145,-39.9095
117490,-40.0182
118850,-40.1272
120226,-40.2364
121619,-40.3459
123027,-40.4556
124451,-40.5656
125893,-40.6758
127350,-40.7863
128825,-40.8971
130317,-41.0081
131826,-41.1194
133352,-41.231
134896,-41.3429
136458,-41.4551
138038,-41.5676
139637,-41.6804
141254,-41.7934
142889,-41.9068
144544,-42.0205
146218,-42.1345
147911,-42.2488
149624,-42.3635
151356,-42.4785
153109,-42.5938
154882,-42.7095
156675,-42.8255
158489,-42.9418
160325,-43.0585
162181,-43.1756
164059,-43.293
165959,-43.4108
167880,-43.529
169824,-43.6475
171791,-43.7665
173780,-43.8858
175792,-44.0055
177828,-44.1256
179887,-44.2461
181970,-44.3671
184077,-44.4884
186209,-44.6102
188365,-44.7324
190546,-44.8551
192752,-44.9781
194984,-45.1017
197242,-45.2256
199526,-45.3501
201837,-45.475
204174,-45.6003
206538,-45.7261
208930,-45.8525
211349,-45.9792
213796,-46.1065
216272,-46.2343
218776,-46.3626
221309,-46.4914
223872,-46.6207
226464,-46.7505
229087,-46.8808
231739,-47.0117
234423,-47.1431
237137,-47.275
239883,-47.4075
242661,-47.5405
245471,-47.6741
248313,-47.8082
251189,-47.9429
254097,-48.0782
257040,-48.2141
260016,-48.3505
263027,-48.4875
266073,-48.6251
269153,-48.7633
272270,-48.9021
275423,-49.0415
278612,-49.1816
281838,-49.3222
285102,-49.4635
288403,-49.6053
291743,-49.7478
295121,-49.891
298538,-50.0347
301995,-50.1792
305492,-50.3242
309030,-50.4699
312608,-50.6163
316228,-50.7633
319890,-50.9109
323594,-51.0593
327341,-51.2083
331131,-51.358
334965,-51.5083
338844,-51.6593
342768,-51.811
346737,-51.9634
350752,-52.1165
354813,-52.2702
358922,-52.4246
363078,-52.5798
367282,-52.7356
371535,-52.8922
375837,-53.0494
380189,-53.2073
384592,-53.366
389045,-53.5253
393550,-53.6854
398107,-53.8462
402717,-54.0076
407380,-54.1698
412098,-54.3328
416869,-54.4964
421697,-54.6608
426580,-54.8259
431519,-54.9917
436516,-55.1582
441570,-55.3255
446684,-55.4935
451856,-55.6622
457088,-55.8317
462381,-56.0019
467735,-56.1728
473151,-56.3445
478630,-56.5169
484172,-56.6901
489779,-56.864
495450,-57.0387
501187,-57.2141
506991,-57.3902
512861,-57.5671
518800,-57.7448
524807,-57.9232
530884,-58.1023
537032,-58.2823
543250,-58.463
549541,-58.6444
555904,-58.8266
562341,-59.0096
568853,-59.1934
575440,-59.3779
582103,-59.5632
588844,-59.7494
595662,-59.9362
602560,-60.1239
609537,-60.3124
616595,-60.5017
623735,-60.6917
630957,-60.8826
638263,-61.0743
645654,-61.2668
653131,-61.4602
660693,-61.6543
668344,-61.8493
676083,-62.0451
683912,-62.2418
691831,-62.4394
699842,-62.6378
707946,-62.837
716143,-63.0372
724436,-63.2382
732825,-63.4401
741310,-63.643
749894,-63.8467
758578,-64.0514
767361,-64.257
776247,-64.4635
785236,-64.671
794328,-64.8795
803526,-65.089
812831,-65.2994
822243,-65.5109
831764,-65.7234
841395,-65.9369
851138,-66.1516
860994,-66.3672
870964,-66.584
881049,-66.8019
891251,-67.0209
901571,-67.2411
912011,-67.4624
922571,-67.685
933254,-67.9087
944061,-68.1337
954993,-68.36
966051,-68.5876
977237,-68.8164
988553,-69.0467
1e+06,-69.2783
1.01158e+06,-69.5113
1.02329e+06,-69.7458
1.03514e+06,-69.9817
1.04713e+06,-70.2192
1.05925e+06,-70.4582
1.07152e+06,-70.6988
1.08393e+06,-70.941
1.09648e+06,-71.1849
1.10917e+06,-71.4305
1.12202e+06,-71.6778
1.13501e+06,-71.9269
1.14815e+06,-72.1779
1.16145e+06,-72.4308
1.1749e+06,-72.6857
1.1885e+06,-72.9426
1.20226e+06,-73.2015
1.21619e+06,-73.4625
1.23027e+06,-73.7258
1.24451e+06,-73.9913
1.25893e+06,-74.2591
1.2735e+06,-74.5292
1.28825e+06,-74.8019
1.30317e+06,-75.0771
1.31826e+06,-75.3548
1.33352e+06,-75.6353
1.34896e+06,-75.9186
1.36458e+06,-76.2047
1.38038e+06,-76.4937
1.39637e+06,-76.7858
1.41254e+06,-77.0809
1.42889e+06,-77.3794
1.44544e+06,-77.6811
1.46218e+06,-77.9862
1.47911e+06,-78.2948
1.49624e+06,-78.6071
1.51356e+06,-78.923
1.53109e+06,-79.2428
1.54882e+06,-79.5664
1.56675e+06,-79.894
1.58489e+06,-80.2257
1.60325e+06,-80.5615
1.62181e+06,-80.9015
1.64059e+06,-81.2457
1.65959e+06,-81.5943
1.6788e+06,-81.9471
1.69824e+06,-82.3041
1.71791e+06,-82.6653
1.7378e+06,-83.0306
1.75792e+06,-83.3998
1.77828e+06,-83.7726
1.79887e+06,-84.1488
1.8197e+06,-84.5279
1.84077e+06,-84.9093
1.86209e+06,-85.2924
1.88365e+06,-85.6762
1.90546e+06,-86.0598
1.92752e+06,-86.4418
1.94984e+06,-86.8206
1.97242e+06,-87.1945
1.99526e+06,-87.5612
2.01837e+06,-87.9184
2.04174e+06,-88.2632
2.06538e+06,-88.5927
2.0893e+06,-88.9034
2.11349e+06,-89.1921
2.13796e+06,-89.4553
2.16272e+06,-89.6898
2.18776e+06,-89.8926
2.21309e+06,-90.0613
2.23872e+06,-90.1944
2.26464e+06,-90.2908
2.29087e+06,-90.3506
2.31739e+06,-90.3748
2.34423e+06,-90.3651
2.37137e+06,-90.3239
2.39883e+06,-90.2541
2.42661e+06,-90.1591
2.45471e+06,-90.0422
2.48313e+06,-89.9069
2.51189e+06,-89.7563
2.54097e+06,-89.5935
2.5704e+06,-89.4214
2.60016e+06,-89.2422
2.63027e+06,-89.0581
2.66073e+06,-88.871
2.69153e+06,-88.6823
2.7227e+06,-88.4934
2.75423e+06,-88.3053
2.78612e+06,-88.1188
2.81838e+06,-87.9347
2.85102e+06,-87.7535
2.88403e+06,-87.5756
