n,f_Hz,ltspice_dBuV,hand_dBuV
1,300000,80.3581,81.199
2,600000,77.5728,77.1037
3,900000,60.5991,58.3164
4,1.2e+06,75.3022,73.5939
5,1.5e+06,77.6501,75.7381
6,1.8e+06,67.6873,64.9816
7,2.1e+06,75.789,74.9413
8,2.4e+06,79.9783,79.4081
9,2.7e+06,71.615,71.1529
10,3e+06,71.1611,73.2271
11,3.3e+06,71.522,74.8995
12,3.6e+06,59.7548,65.6626
13,3.9e+06,56.6655,62.8391
14,4.2e+06,60.5389,66.7949
15,4.5e+06,58.4494,60.0292
16,4.8e+06,50.7307,53.7218
17,5.1e+06,63.8075,60.3883
18,5.4e+06,63.4706,55.4287
19,5.7e+06,42.229,44.5393
20,6e+06,65.1544,54.5765
21,6.3e+06,65.8514,51.0267
22,6.6e+06,48.147,32.9291
23,6.9e+06,65.2075,48.8014
24,7.2e+06,67.2084,46.547
25,7.5e+06,56.1447,4.38658
26,7.8e+06,64.4891,43.3991
27,8.1e+06,68.0075,42.9798
28,8.4e+06,60.3979,25.7054
29,8.7e+06,63.0866,40.6047
30,9e+06,68.4247,42.6628
31,9.3e+06,63.1806,31.6598
32,9.6e+06,60.843,40.472
33,9.9e+06,68.5345,44.1827
34,1.02e+07,65.1476,36.3183
35,1.05e+07,57.203,40.4199
36,1.08e+07,68.3678,45.5231
37,1.11e+07,66.5806,39.6957
38,1.14e+07,49.9159,39.5968
39,1.17e+07,67.9307,46.3516
40,1.2e+07,67.6273,42.1183
41,1.23e+07,41.5502,37.7863
42,1.26e+07,67.2022,46.7286
43,1.29e+07,68.3662,43.8626
44,1.32e+07,54.8945,34.5523
45,1.35e+07,66.1334,46.7298
46,1.38e+07,68.8407,45.1064
47,1.41e+07,59.8521,28.1712
48,1.44e+07,64.6338,46.4027
49,1.47e+07,69.0783,45.9616
50,1.5e+07,62.8539,11.4049
51,1.53e+07,62.5311,45.7679
52,1.56e+07,69.098,46.4994
53,1.59e+07,64.9267,30.3149
54,1.62e+07,59.4276,44.8231
55,1.65e+07,68.9029,46.7661
56,1.68e+07,66.4344,35.5808
57,1.71e+07,54.1121,43.542
58,1.74e+07,68.4784,46.7911
59,1.77e+07,67.5389,38.5423
60,1.8e+07,36.0828,41.8654
61,1.83e+07,67.7983,46.5924
62,1.86e+07,68.3289,40.4403
63,1.89e+07,51.6922,39.6788
64,1.92e+07,66.8192,46.1791
65,1.95e+07,68.8553,41.6897
66,1.98e+07,58.3171,36.7509
67,2.01e+07,65.4668,45.5526
68,2.04e+07,69.1487,42.4791
69,2.07e+07,61.8969,32.5276
70,2.1e+07,63.5988,44.7073
71,2.13e+07,69.2218,42.908
72,2.16e+07,64.2621,25.0239
73,2.19e+07,60.9312,43.63
74,2.22e+07,69.0787,43.0325
75,2.25e+07,65.9393,11.727
76,2.28e+07,56.749,42.298
77,2.31e+07,68.7185,42.8841
78,2.34e+07,67.1588,26.9174
79,2.37e+07,47.9161,40.6756
80,2.4e+07,68.129,42.4781
81,2.43e+07,68.0428,31.2966
82,2.46e+07,45.8688,38.7081
83,2.49e+07,67.2784,41.8174
84,2.52e+07,68.6612,33.488
85,2.55e+07,56.0836,36.3084
86,2.58e+07,66.0994,40.8935
87,2.61e+07,69.0456,34.6054
88,2.64e+07,60.545,33.3296
89,2.67e+07,64.4792,39.6857
90,2.7e+07,69.2102,35.0095
91,2.73e+07,63.3337,29.4943
92,2.76e+07,62.2088,38.1572
93,2.79e+07,69.1601,34.8386
94,2.82e+07,65.2721,24.1639
95,2.85e+07,58.8249,36.2475
96,2.88e+07,68.8964,34.1258
97,2.91e+07,66.6796,15.0541
98,2.94e+07,52.7965,33.856
99,2.97e+07,68.4057,32.8214
100,3e+07,67.7061,3.40694
